,MAPE,MAPE1,MAE,MAE1,RSME,RMSE1
39,0.055205511,0.055396169,2.338990816,2.385666331,4.17006998,4.302151758
42,0.055205511,0.055396169,2.338990816,2.385666331,4.17006998,4.302151758
63,0.053998415,0.05444391,2.275148599,2.370369626,4.064843153,4.218049422
48,0.054160252,0.054090154,2.285052246,2.359713659,4.129998116,4.198290426
30,0.055205511,0.054446888,2.338990816,2.358374575,4.17006998,4.211203888
33,0.055205511,0.054446888,2.338990816,2.358374575,4.17006998,4.211203888
36,0.055205511,0.054446888,2.338990816,2.358374575,4.17006998,4.211203888
45,0.055205511,0.056904896,2.285052246,2.337654895,4.14822082,4.219227652
51,0.054160252,0.0554217,2.275148599,2.313835528,4.129998116,4.199401797
54,0.054160252,0.0554217,2.275148599,2.313835528,4.129998116,4.199401797
57,0.054160252,0.0554217,2.275148599,2.313835528,4.129998116,4.199401797
66,0.053508392,0.0535992,2.27130737,2.307726929,4.064843153,4.15985822
84,0.052501224,0.053238681,2.236764023,2.306281354,4.056238069,4.139694448
60,0.053998415,0.053802595,2.275148599,2.295195364,4.064843153,4.125673231
93,0.052501224,0.053300111,2.225993522,2.289541667,4.04040075,4.109637096
96,0.052501224,0.053300111,2.225993522,2.289541667,4.04040075,4.109637096
72,0.052501224,0.054207778,2.255060405,2.286499793,4.064843153,4.15100028
69,0.052501224,0.052356446,2.255060405,2.281467204,4.064843153,4.130919274
102,0.052501224,0.053828428,2.217708548,2.27636103,4.032943812,4.105413142
105,0.052501224,0.053828428,2.217708548,2.27636103,4.032943812,4.105413142
108,0.052501224,0.053828428,2.217708548,2.27636103,4.032943812,4.105413142
90,0.052501224,0.053422514,2.225993522,2.271468949,4.04040075,4.094943594
117,0.052501224,0.052765939,2.217708548,2.270552187,4.032943812,4.091043501
75,0.052501224,0.053128529,2.236764023,2.263370881,4.056238069,4.114600332
78,0.052501224,0.053128529,2.236764023,2.263370881,4.056238069,4.114600332
81,0.052501224,0.053128529,2.236764023,2.263370881,4.056238069,4.114600332
144,0.052501224,0.052486062,2.217708548,2.250451632,4.026185822,4.087958192
87,0.052501224,0.052707753,2.225993522,2.249360987,4.042324375,4.088514311
120,0.052501224,0.052973963,2.217708548,2.246507672,4.032943812,4.082365544
123,0.052501224,0.052973963,2.217708548,2.246507672,4.032943812,4.082365544
126,0.052501224,0.052973963,2.217708548,2.246507672,4.032943812,4.082365544
129,0.052501224,0.052973963,2.217708548,2.246507672,4.032943812,4.082365544
132,0.052501224,0.052973963,2.217708548,2.246507672,4.032943812,4.082365544
111,0.052501224,0.053238465,2.217708548,2.242820954,4.032943812,4.083346494
114,0.052501224,0.053238465,2.217708548,2.242820954,4.032943812,4.083346494
99,0.052501224,0.053219029,2.217708548,2.241962641,4.032943812,4.082430976
147,0.052501224,0.052602261,2.217708548,2.241429799,4.026185822,4.080943919
135,0.052501224,0.052574307,2.217708548,2.240113967,4.026185822,4.066240474
138,0.052501224,0.052574307,2.217708548,2.240113967,4.026185822,4.066240474
141,0.052501224,0.052574307,2.217708548,2.240113967,4.026185822,4.066240474
